2020-04-15 20:01:59,182: custodian.cache:DEBUG Disabling cache
2020-04-15 20:01:59,183: custodian.commands:DEBUG Loaded file /home/custodian/ebs-snap-policy.yml. Contains 1 policies
2020-04-15 20:01:59,198: custodian.aws:DEBUG using default region:us-west-1 from boto
2020-04-15 20:01:59,546: custodian.reports:DEBUG Found 1083 records for region us-west-1
2020-04-15 20:01:59,547: custodian.reports:DEBUG Uniqued from 1083 to 1083
SnapshotId,VolumeId,tag:InstanceId,VolumeSize,StartTime,State
snap-0578798d6bd184504,vol-0c6e40578f7933657,,250,2019-12-07T05:03:54+00:00,completed
snap-00a68a4a919803e3c,vol-02e9a679dbffd8489,,100,2019-12-07T05:03:54+00:00,completed
snap-0030dd6e28387925e,vol-02e9a679dbffd8489,,100,2019-12-07T05:07:22+00:00,completed
snap-001063586b6e70fa1,vol-0c6e40578f7933657,,250,2019-12-07T05:06:48+00:00,completed
snap-0f50e4cf0b883bd6c,vol-0088665649d8db10f,,20,2019-12-07T05:03:54+00:00,completed
snap-00d43be35a28ef3c2,vol-06f422c09b2e5a5f1,,20,2019-09-30T12:08:48+00:00,completed
snap-087b7bdc2ec87c064,vol-0dbd30360e3c99a00,,150,2019-09-30T12:08:48+00:00,completed
snap-0f425cada255a3605,vol-0c7bf0f4e2f6863bb,,40,2019-09-26T06:59:58+00:00,completed
snap-0ac07bf42031fec72,vol-0c6e40578f7933657,,250,2019-09-21T05:08:19+00:00,completed
snap-010e9d01f5d006811,vol-02e9a679dbffd8489,,100,2019-09-21T05:08:45+00:00,completed
snap-02a9f0a186013c532,vol-02e9a679dbffd8489,,100,2019-09-21T02:50:05+00:00,completed
snap-0a7775fe21cf2616b,vol-0c6e40578f7933657,,250,2019-09-21T02:47:40+00:00,completed
snap-034ca04100554ecf2,vol-0c7bf0f4e2f6863bb,,40,2019-08-24T04:41:01+00:00,completed
snap-00dbee9a27fcc968b,vol-0c7bf0f4e2f6863bb,,40,2019-08-12T05:46:07+00:00,completed
snap-00eafe8243be75dfc,vol-0c7bf0f4e2f6863bb,,40,2019-07-26T05:56:47+00:00,completed
snap-06a354fe4734a6673,vol-0c6e40578f7933657,,250,2019-07-13T07:05:06+00:00,completed
snap-098820e789a1b0a6e,vol-02e9a679dbffd8489,,100,2019-07-13T07:05:06+00:00,completed
snap-02d257f193fb3cc0a,vol-0088665649d8db10f,,20,2019-07-13T07:05:06+00:00,completed
snap-0d83ca433773e4348,vol-070e83d1fd767bfb8,,20,2019-07-13T04:56:24+00:00,completed
snap-0cedec8210a89b586,vol-01bf4351fbc0ea942,,250,2019-07-13T04:56:24+00:00,completed
snap-0adb383978b88f450,vol-0c7bf0f4e2f6863bb,,40,2019-07-12T05:47:50+00:00,completed
snap-0c44a4d4a9d1e4327,vol-0088665649d8db10f,,20,2019-07-10T14:59:39+00:00,completed
snap-0a7e8206dee331954,vol-0700b744f48beddeb,,85,2019-07-05T06:56:36+00:00,completed
snap-0495bf7036abc5243,vol-0c7bf0f4e2f6863bb,,40,2019-07-02T05:59:30+00:00,completed
snap-0612b68105013c8c3,vol-0c6e40578f7933657,,250,2019-06-17T05:48:44+00:00,completed
snap-098e6301387800907,vol-02e9a679dbffd8489,,100,2019-06-17T05:49:21+00:00,completed
snap-0870cbe0aee7e69a8,vol-0c7bf0f4e2f6863bb,,40,2019-06-14T06:00:06+00:00,completed
snap-050fc9d20ce795492,vol-0c7bf0f4e2f6863bb,,40,2019-05-29T05:48:00+00:00,completed
snap-048ba93c191c780a9,vol-0c7bf0f4e2f6863bb,,40,2019-05-27T06:11:32+00:00,completed
snap-04c409abe636891e0,vol-00d6a9148a45e8974,,20,2019-05-07T13:20:27+00:00,completed
snap-00a92dacc766dcd10,vol-0c6e40578f7933657,,250,2019-05-02T10:03:01+00:00,completed
snap-09e43edda02c50d96,vol-02e9a679dbffd8489,,100,2019-05-02T10:05:11+00:00,completed
snap-07fadd63dfb725f3a,vol-0c7bf0f4e2f6863bb,,40,2019-05-02T06:00:08+00:00,completed
snap-024d27f61147f60e6,vol-0c7bf0f4e2f6863bb,,40,2019-04-24T06:20:49+00:00,completed
snap-089aa1b45cee66836,vol-070e83d1fd767bfb8,,20,2019-04-18T10:19:36+00:00,completed
snap-0d1ee7ac04c3c7a66,vol-01bf4351fbc0ea942,,250,2019-04-18T10:11:38+00:00,completed
snap-09c69b6d585cb5df9,vol-01bf4351fbc0ea942,,250,2019-04-18T10:19:36+00:00,completed
snap-082c66b8039f898b0,vol-02e9a679dbffd8489,,100,2019-04-18T08:22:44+00:00,completed
snap-09c8ad45a6b17a2b5,vol-0c6e40578f7933657,,250,2019-04-18T08:21:22+00:00,completed
snap-0c2d70059ecb696de,vol-02e9a679dbffd8489,,100,2019-04-17T06:32:22+00:00,completed
snap-05afb457f30da2286,vol-0c6e40578f7933657,,250,2019-04-17T06:31:29+00:00,completed
snap-0f9767da2c0550427,vol-070e83d1fd767bfb8,,20,2019-04-16T06:56:27+00:00,completed
snap-04d6594b02049e0aa,vol-01bf4351fbc0ea942,,250,2019-04-16T06:56:27+00:00,completed
snap-0642dfc04b59aac9a,vol-01bf4351fbc0ea942,,250,2019-04-16T06:51:58+00:00,completed
snap-0fbd6793275728df6,vol-02e9a679dbffd8489,,100,2019-04-16T05:20:48+00:00,completed
snap-051341ae1cfb523f7,vol-0c6e40578f7933657,,250,2019-04-16T05:20:48+00:00,completed
snap-03495c71ebbf4c025,vol-0088665649d8db10f,,20,2019-04-16T05:20:48+00:00,completed
snap-0fcf213e4dd465c22,vol-0c6e40578f7933657,,250,2019-04-16T04:10:38+00:00,completed
snap-093121c052a18baf0,vol-02e9a679dbffd8489,,100,2019-04-16T04:12:32+00:00,completed
snap-099e3f4f73361eb16,vol-0088665649d8db10f,,20,2019-04-15T18:19:07+00:00,completed
snap-016edf4510ffbb75b,vol-070e83d1fd767bfb8,,20,2019-04-13T04:36:47+00:00,completed
snap-0afd8627fe933cc9f,vol-01bf4351fbc0ea942,,250,2019-04-13T04:36:47+00:00,completed
snap-0b439ecfe8eae5ce6,vol-01bf4351fbc0ea942,,250,2019-04-13T04:33:07+00:00,completed
snap-0101237dc67aa9a09,vol-0c7bf0f4e2f6863bb,,40,2019-04-10T05:50:13+00:00,completed
snap-0d20a35f0470afbc6,vol-01bf4351fbc0ea942,,250,2019-04-03T05:59:44+00:00,completed
snap-042f6cb26de214c07,vol-0740c7f6c7b76a002,,8,2019-03-28T15:02:03+00:00,completed
snap-09ba00d1ce1cc45a5,vol-02e9a679dbffd8489,,100,2019-03-25T12:07:08+00:00,completed
snap-0946dba5c3f5d8695,vol-0c6e40578f7933657,,250,2019-03-25T12:10:14+00:00,completed
snap-04e23e51c5196358a,vol-0c7bf0f4e2f6863bb,,40,2019-03-21T05:41:47+00:00,completed
snap-014bbdca40d888941,vol-0597eb8f34d135ecd,,20,2018-01-31T05:32:45+00:00,completed
snap-0d338045f64ad169a,vol-0c7bf0f4e2f6863bb,,40,2019-03-09T05:56:08+00:00,completed
